MONTH,WEEKOFMONTH,DAYOFWEEK,MAKE,ACCIDENTAREA,DAYOFWEEKCLAIMED,MONTHCLAIMED,WEEKOFMONTHCLAIMED,SEX,MARITALSTATUS,AGE,FAULT,POLICYTYPE,VEHICLECATEGORY,VEHICLEPRICE,REPNUMBER,DEDUCTIBLE,DRIVERRATING,DAYS_POLICY_ACCIDENT,DAYS_POLICY_CLAIM,PASTNUMBEROFCLAIMS,AGEOFVEHICLE,AGEOFPOLICYHOLDER,POLICEREPORTFILED,WITNESSPRESENT,AGENTTYPE,NUMBEROFSUPPLIMENTS,ADDRESSCHANGE_CLAIM,NUMBEROFCARS,YEAR,BASEPOLICY,FRAUDFOUND
Jan,2,Wednesday,Pontiac,Urban,Monday,Jan,4,Male,Married,29,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,5,400,3,more_than_30,more_than_30,none,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,1,Tuesday,Honda,Urban,Wednesday,Jan,4,Male,Single,28,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,7,400,3,more_than_30,more_than_30,none,new,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Dec,2,Monday,Mazda,Urban,Monday,Jan,1,Male,Married,43,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,10,400,2,more_than_30,more_than_30,2_to_4,more_than_7,36_to_40,No,No,External,none,4_to_8_years,2-vehicles,1994,All_Perils,Yes
Dec,3,Thursday,Honda,Urban,Monday,Jan,1,Male,Married,39,Policy_Holder,Sport-Collision,Sport,more_than_69000,13,400,3,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,4,Saturday,Toyota,Urban,Wednesday,Jan,4,Male,Married,53,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,4,400,4,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,4,Sunday,Pontiac,Urban,Wednesday,Jan,4,Male,Married,39,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,11,400,2,more_than_30,more_than_30,none,6_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,2,Friday,Honda,Rural,Wednesday,Jan,2,Female,Single,31,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,4,400,1,more_than_30,more_than_30,1,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,3,Wednesday,Mazda,Rural,Tuesday,Feb,1,Male,Single,33,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,8,400,1,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Aug,1,Tuesday,VW,Urban,Friday,Aug,1,Male,Married,35,Third_Party,Sedan-All_Perils,Sedan,60000_to_69000,2,500,4,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,none,2_to_3_years,1-vehicle,1994,All_Perils,Yes
Jan,4,Monday,Mazda,Urban,Monday,Feb,4,Male,Married,43,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,3,400,1,more_than_30,more_than_30,2_to_4,7_years,36_to_40,Yes,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,4,Monday,Honda,Urban,Tuesday,Feb,1,Male,Single,33,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,6,400,4,more_than_30,more_than_30,none,5_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1994,Collision,Yes
Jan,4,Tuesday,Saab,Urban,Friday,Feb,1,Male,Married,65,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,2,400,3,more_than_30,more_than_30,2_to_4,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,5,Friday,Toyota,Urban,Tuesday,Feb,1,Male,Married,57,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,16,400,2,more_than_30,more_than_30,2_to_4,more_than_7,51_to_65,No,No,External,more_than_5,1_year,1-vehicle,1994,All_Perils,Yes
Jan,5,Sunday,Mazda,Rural,Friday,Mar,4,Male,Married,46,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,6,400,3,more_than_30,more_than_30,2_to_4,5_years,41_to_50,No,No,External,1_to_2,4_to_8_years,2-vehicles,1994,All_Perils,Yes
Jan,5,Sunday,Pontiac,Rural,Tuesday,Feb,1,Male,Married,27,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,15,400,3,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,3,Saturday,Pontiac,Urban,Monday,Jan,3,Male,Single,22,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,4,400,1,more_than_30,more_than_30,2_to_4,5_years,26_to_30,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Feb,2,Tuesday,Pontiac,Urban,Monday,Feb,4,Male,Married,40,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,7,400,1,more_than_30,more_than_30,2_to_4,5_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jan,5,Monday,Toyota,Urban,Tuesday,Feb,1,Male,Married,35,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,7,400,3,1_to_7,8_to_15,none,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jan,5,Monday,Honda,Rural,Tuesday,Feb,1,Male,Single,18,Policy_Holder,Sport-Collision,Sport,more_than_69000,4,400,3,more_than_30,more_than_30,none,3_years,21_to_25,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Feb,1,Tuesday,Pontiac,Urban,Wednesday,Feb,1,Female,Married,76,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,14,400,3,more_than_30,more_than_30,none,more_than_7,over_65,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
Feb,1,Wednesday,Pontiac,Rural,Friday,Feb,1,Male,Married,31,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,6,400,2,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,3_to_5,no_change,1-vehicle,1994,All_Perils,Yes
Feb,1,Thursday,Accura,Urban,Monday,Feb,2,Male,Married,31,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,1,700,1,more_than_30,more_than_30,2_to_4,7_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
Feb,2,Friday,Pontiac,Rural,Friday,Feb,3,Male,Single,30,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,12,400,3,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Feb,2,Sunday,Mazda,Urban,Thursday,Feb,3,Male,Married,52,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,8,400,3,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Feb,3,Saturday,Pontiac,Urban,Monday,Mar,3,Male,Single,33,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,12,400,2,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Feb,3,Sunday,Pontiac,Rural,Wednesday,Mar,1,Male,Married,54,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,4,400,4,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Feb,4,Saturday,Pontiac,Urban,Monday,Feb,5,Male,Single,22,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,13,400,3,more_than_30,more_than_30,1,5_years,26_to_30,Yes,Yes,External,1_to_2,no_change,1-vehicle,1994,Collision,Yes
Mar,1,Sunday,Mazda,Rural,Monday,Mar,2,Male,Married,30,Policy_Holder,Sedan-Collision,Sedan,more_than_69000,4,400,4,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,1,Sunday,Toyota,Urban,Tuesday,Mar,2,Male,Married,51,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,14,400,4,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,1_to_2,no_change,1-vehicle,1994,Collision,Yes
Mar,1,Wednesday,Honda,Urban,Monday,Mar,2,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,15,400,4,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,1,Wednesday,Toyota,Urban,Monday,Mar,2,Female,Married,45,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,4,400,1,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,1,Wednesday,Accura,Urban,Tuesday,Mar,2,Male,Married,38,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,9,400,2,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Feb,4,Tuesday,Honda,Urban,Wednesday,Mar,1,Male,Married,40,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,7,400,1,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,2,Sunday,Mazda,Urban,Monday,Mar,3,Female,Married,44,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,3,400,4,more_than_30,more_than_30,none,6_years,36_to_40,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
Mar,1,Saturday,Honda,Urban,Wednesday,Mar,3,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,16,400,1,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Feb,1,Sunday,Chevrolet,Urban,Friday,Feb,4,Male,Married,40,Third_Party,Sedan-Collision,Sedan,30000_to_39000,6,500,3,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,more_than_5,2_to_3_years,1-vehicle,1994,Collision,Yes
Mar,3,Thursday,Honda,Urban,Thursday,Mar,3,Male,Single,0,Policy_Holder,Sedan-Collision,Sedan,more_than_69000,12,400,1,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,3,Tuesday,Pontiac,Urban,Thursday,Mar,3,Male,Married,55,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,9,400,4,more_than_30,more_than_30,2_to_4,6_years,41_to_50,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,Yes
Mar,4,Friday,Honda,Urban,Monday,Apr,1,Female,Married,50,Policy_Holder,Sport-Collision,Sport,more_than_69000,1,400,1,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,4,Saturday,Pontiac,Urban,Friday,Apr,1,Male,Married,42,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,1,400,2,more_than_30,more_than_30,1,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,4,Monday,Ford,Urban,Friday,Apr,1,Male,Married,64,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,2,400,3,more_than_30,more_than_30,none,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,4,Monday,Pontiac,Urban,Tuesday,Apr,1,Male,Married,43,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,5,400,2,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,4,Tuesday,Toyota,Urban,Tuesday,Aug,1,Male,Married,52,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,1,400,1,more_than_30,more_than_30,1,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,3,Friday,Chevrolet,Urban,Friday,Apr,1,Male,Single,35,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,4,400,2,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,3,Saturday,Toyota,Rural,Friday,Apr,1,Male,Married,55,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,3,400,2,more_than_30,more_than_30,none,more_than_7,41_to_50,No,No,External,3_to_5,no_change,1-vehicle,1994,All_Perils,Yes
Mar,3,Sunday,Toyota,Rural,Tuesday,Mar,4,Male,Married,45,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,7,400,3,more_than_30,more_than_30,2_to_4,more_than_7,36_to_40,No,No,External,more_than_5,no_change,3_to_4,1994,All_Perils,Yes
Mar,4,Thursday,Chevrolet,Urban,Friday,Apr,1,Male,Married,52,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,10,400,2,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,3_to_5,no_change,1-vehicle,1994,Collision,Yes
Mar,5,Monday,Mazda,Urban,Friday,Apr,2,Female,Married,43,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,13,400,3,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,5,Wednesday,Chevrolet,Urban,Monday,Apr,2,Male,Married,51,Policy_Holder,Sedan-Liability,Sport,more_than_69000,15,400,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,1_to_2,no_change,1-vehicle,1994,Liability,Yes
Mar,5,Wednesday,Toyota,Rural,Friday,May,1,Male,Single,28,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,5,400,2,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,1_to_2,4_to_8_years,2-vehicles,1994,All_Perils,Yes
Apr,1,Friday,Pontiac,Urban,Friday,Apr,2,Male,Married,55,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,2,400,1,more_than_30,more_than_30,2_to_4,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Mar,4,Monday,Toyota,Urban,Friday,Apr,2,Male,Married,57,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,16,400,1,more_than_30,more_than_30,none,more_than_7,51_to_65,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Mar,4,Sunday,Chevrolet,Urban,Friday,Apr,5,Male,Married,40,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,3,400,3,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,Yes,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
Apr,1,Wednesday,Honda,Urban,Tuesday,Apr,2,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,2,400,3,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Apr,1,Wednesday,Pontiac,Urban,Friday,Jun,1,Male,Single,32,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,4,400,2,more_than_30,more_than_30,2_to_4,5_years,31_to_35,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
Apr,3,Friday,Pontiac,Urban,Tuesday,Apr,3,Male,Married,33,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,8,400,2,more_than_30,more_than_30,2_to_4,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Apr,3,Sunday,Honda,Urban,Wednesday,Apr,3,Male,Married,48,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,8,400,4,more_than_30,more_than_30,1,more_than_7,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Apr,3,Sunday,Mazda,Urban,Wednesday,Apr,3,Male,Married,32,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,8,400,2,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,Yes
Apr,3,Saturday,Ford,Rural,Monday,May,1,Male,Single,34,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,6,400,4,more_than_30,more_than_30,2_to_4,6_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Apr,2,Wednesday,Chevrolet,Urban,Friday,Apr,3,Male,Married,37,Policy_Holder,Sedan-Collision,Sedan,more_than_69000,12,400,2,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Apr,3,Wednesday,Pontiac,Urban,Monday,May,2,Male,Married,37,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,10,400,4,more_than_30,more_than_30,more_than_4,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Apr,4,Thursday,Chevrolet,Urban,Friday,Jul,1,Male,Married,29,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,10,400,1,more_than_30,more_than_30,more_than_4,7_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Apr,4,Friday,Honda,Urban,Tuesday,Apr,4,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,9,400,4,more_than_30,more_than_30,2_to_4,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Apr,3,Monday,Honda,Urban,Tuesday,Apr,3,Male,Single,0,Policy_Holder,Sedan-Liability,Sport,more_than_69000,11,400,4,more_than_30,more_than_30,more_than_4,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,Liability,Yes
Apr,2,Monday,Chevrolet,Urban,Tuesday,Apr,2,Female,Divorced,40,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,12,400,2,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
Apr,2,Tuesday,Saturn,Urban,Tuesday,Apr,3,Male,Single,25,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,1,400,4,more_than_30,more_than_30,1,5_years,26_to_30,No,No,External,none,no_change,3_to_4,1994,All_Perils,Yes
Apr,4,Saturday,Toyota,Urban,Friday,May,1,Male,Married,34,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,2,400,2,more_than_30,more_than_30,1,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,Yes
Apr,4,Sunday,Pontiac,Urban,Tuesday,May,1,Male,Single,30,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,16,400,1,more_than_30,more_than_30,none,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jul,3,Wednesday,Accura,Urban,Tuesday,Aug,1,Male,Married,36,Policy_Holder,Utility-All_Perils,Utility,more_than_69000,1,400,2,more_than_30,more_than_30,none,more_than_7,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
May,3,Friday,Mazda,Urban,Wednesday,May,4,Male,Married,33,Third_Party,Sport-Collision,Sport,more_than_69000,11,500,4,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,3_to_5,2_to_3_years,1-vehicle,1994,Collision,Yes
Jul,3,Saturday,Toyota,Urban,Monday,Jul,3,Female,Single,27,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,13,400,4,more_than_30,more_than_30,1,6_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
May,1,Friday,Toyota,Urban,Thursday,Jun,2,Male,Married,51,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,11,400,1,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
May,1,Friday,Pontiac,Urban,Monday,May,3,Male,Single,33,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,2,400,2,more_than_30,more_than_30,1,5_years,31_to_35,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Apr,5,Thursday,Toyota,Urban,Thursday,Apr,5,Male,Married,63,Policy_Holder,Sedan-Collision,Sedan,30000_to_39000,2,400,3,more_than_30,more_than_30,1,more_than_7,51_to_65,No,No,External,none,4_to_8_years,2-vehicles,1994,Collision,Yes
Apr,5,Friday,Pontiac,Urban,Wednesday,May,1,Male,Married,49,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,2,400,2,more_than_30,more_than_30,1,6_years,41_to_50,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
May,4,Saturday,Pontiac,Urban,Thursday,May,4,Male,Single,66,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,2,400,1,more_than_30,more_than_30,1,more_than_7,over_65,No,No,External,3_to_5,no_change,1-vehicle,1994,All_Perils,Yes
Jul,2,Friday,Pontiac,Urban,Tuesday,Jul,2,Male,Married,39,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,6,400,3,more_than_30,more_than_30,none,7_years,36_to_40,No,Yes,External,none,no_change,1-vehicle,1994,Collision,Yes
May,2,Tuesday,Pontiac,Urban,Friday,Jun,3,Male,Married,37,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,16,400,1,more_than_30,more_than_30,2_to_4,7_years,36_to_40,No,No,External,none,1_year,2-vehicles,1994,All_Perils,Yes
May,2,Tuesday,Toyota,Urban,Tuesday,May,3,Male,Married,48,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,5,400,1,more_than_30,more_than_30,none,7_years,41_to_50,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
May,4,Saturday,Honda,Urban,Tuesday,May,4,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,3,400,1,more_than_30,more_than_30,2_to_4,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
May,3,Sunday,Pontiac,Urban,Friday,Jun,1,Male,Single,25,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,3,400,2,more_than_30,more_than_30,none,6_years,26_to_30,No,No,External,1_to_2,no_change,1-vehicle,1994,All_Perils,Yes
May,4,Monday,Toyota,Urban,Tuesday,May,4,Male,Married,65,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,15,400,2,more_than_30,more_than_30,1,more_than_7,51_to_65,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
May,3,Wednesday,Mazda,Rural,Tuesday,Oct,1,Male,Married,67,Policy_Holder,Sedan-All_Perils,Sedan,30000_to_39000,4,400,2,more_than_30,more_than_30,1,more_than_7,over_65,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
Apr,4,Tuesday,Mazda,Rural,Thursday,May,1,Male,Married,36,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,1,400,4,more_than_30,more_than_30,none,7_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,Collision,Yes
Jun,4,Wednesday,Toyota,Urban,Monday,Jun,4,Female,Married,34,Policy_Holder,Sedan-Collision,Sedan,20000_to_29000,16,400,4,more_than_30,more_than_30,none,7_years,31_to_35,No,No,External,more_than_5,no_change,1-vehicle,1994,Collision,Yes
Apr,4,Wednesday,Honda,Urban,Tuesday,May,1,Male,Single,0,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,3,400,1,more_than_30,more_than_30,none,new,16_to_17,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Apr,4,Wednesday,Pontiac,Urban,Tuesday,May,1,Male,Married,40,Policy_Holder,Sedan-All_Perils,Sedan,more_than_69000,1,400,2,more_than_30,more_than_30,1,5_years,36_to_40,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
Jun,2,Tuesday,Pontiac,Urban,Wednesday,Jun,2,Male,Married,61,Policy_Holder,Sedan-All_Perils,Sedan,less_than_20000,3,400,1,more_than_30,more_than_30,1,more_than_7,51_to_65,No,No,External,more_than_5,no_change,1-vehicle,1994,All_Perils,Yes
Apr,4,Friday,Pontiac,Urban,Friday,Jun,3,Male,Single,25,Policy_Holder,Sedan-All_Perils,Sedan,20000_to_29000,6,400,4,more_than_30,more_than_30,none,3_years,26_to_30,No,No,External,none,no_change,1-vehicle,1994,All_Perils,Yes
